horodatage;ram_libre_mo;cpu_pct;perf_pct;alim;charge_pct;node;chrome;nb_proc
2026-09-12 16:22:14;5725;0;165.5;SECTEUR;100;9;13;319
2026-09-12 16:22:17;5101;99;141.9;SECTEUR;100;14;14;325
2026-09-12 16:22:19;4581;68;98.2;SECTEUR;100;14;14;325
2026-09-12 16:22:22;4452;69;97.2;SECTEUR;100;14;14;325
2026-09-12 16:22:25;4400;81;114.8;SECTEUR;100;13;14;324
2026-09-12 16:22:28;4550;100;127;SECTEUR;100;14;14;328
2026-09-12 16:22:30;4745;84;129.1;SECTEUR;100;14;14;325
2026-09-12 16:22:33;5156;36;145.3;SECTEUR;100;2;14;311
2026-09-12 16:22:35;5254;84;133.5;SECTEUR;100;14;14;325
2026-09-12 16:22:38;4626;65;108.9;SECTEUR;100;14;14;325
2026-09-12 16:22:42;4609;13;106.9;SECTEUR;100;14;14;327
2026-09-12 16:22:45;4521;68;100.2;SECTEUR;100;14;14;325
2026-09-12 16:22:47;4631;48;95.9;SECTEUR;100;14;14;325
2026-09-12 16:22:50;4572;100;130.4;SECTEUR;100;14;14;325
2026-09-12 16:22:53;4640;84;125.2;SECTEUR;100;14;14;328
2026-09-12 16:22:55;5040;48;125.9;SECTEUR;100;1;14;309
2026-09-12 16:22:58;5463;24;133.4;SECTEUR;100;14;14;325
2026-09-12 16:23:01;4806;82;116.8;SECTEUR;100;14;14;325
2026-09-12 16:23:04;4561;9;115.8;SECTEUR;100;14;14;325
2026-09-12 16:23:07;4546;71;89.1;SECTEUR;100;14;14;325
2026-09-12 16:23:10;4438;46;80.4;SECTEUR;100;14;14;326
2026-09-12 16:23:12;4396;95;129.9;SECTEUR;100;14;14;326
2026-09-12 16:23:15;4618;83;127.1;SECTEUR;100;14;14;329
2026-09-12 16:23:18;4854;75;124.1;SECTEUR;100;14;14;326
