horodatage;ram_libre_mo;cpu_pct;perf_pct;alim;charge_pct;node;chrome;nb_proc
2026-09-12 16:16:47;5857;14;81.8;SECTEUR;100;0;14;310
2026-09-12 16:16:51;5608;16;140.1;SECTEUR;100;15;14;329
2026-09-12 16:16:54;5122;81;111.7;SECTEUR;100;15;14;328
2026-09-12 16:16:58;5237;88;132.3;SECTEUR;100;15;14;328
2026-09-12 16:17:02;5207;83;131.8;SECTEUR;100;15;14;328
2026-09-12 16:17:05;5243;47;141.2;SECTEUR;100;15;14;328
2026-09-12 16:17:09;5280;84;134.2;SECTEUR;100;15;14;331
2026-09-12 16:17:13;4666;54;118.2;SECTEUR;100;15;14;328
2026-09-12 16:17:17;4592;71;100.6;SECTEUR;100;15;14;328
2026-09-12 16:17:21;4614;95;129.7;SECTEUR;100;15;14;330
2026-09-12 16:17:24;4641;83;127.2;SECTEUR;100;15;14;328
2026-09-12 16:17:28;5230;34;149;SECTEUR;100;8;14;321
2026-09-12 16:17:32;5159;46;112.1;SECTEUR;100;8;14;321
2026-09-12 16:17:35;5107;37;92.5;SECTEUR;100;8;13;320
2026-09-12 16:17:39;5040;53;91.2;SECTEUR;100;8;13;320
2026-09-12 16:17:43;5012;62;128.2;SECTEUR;100;8;14;321
2026-09-12 16:17:46;5058;57;131.7;SECTEUR;100;8;14;321
2026-09-12 16:17:50;5252;43;139.7;SECTEUR;100;8;14;321
2026-09-12 16:17:53;5244;51;146.5;SECTEUR;100;8;14;321
2026-09-12 16:17:57;5169;58;143.3;SECTEUR;100;8;14;321
2026-09-12 16:18:01;5342;53;145.7;SECTEUR;100;8;14;321
