horodatage;ram_libre_mo;cpu_pct;perf_pct;alim;charge_pct;node;chrome;nb_proc
2026-09-13 02:49:45;5193;28;94.7;SECTEUR;100;0;18;324
2026-09-13 02:49:48;5206;28;78.3;SECTEUR;100;0;18;323
2026-09-13 02:49:51;5179;8;67.8;SECTEUR;100;0;18;323
2026-09-13 02:49:53;5200;16;68.1;SECTEUR;100;0;18;323
2026-09-13 02:49:56;5201;34;96.5;SECTEUR;100;0;18;323
2026-09-13 02:49:59;5199;38;66.1;SECTEUR;100;0;18;323
2026-09-13 02:50:01;5200;27;72.8;SECTEUR;100;0;18;323
2026-09-13 02:50:04;5200;21;67;SECTEUR;100;0;18;323
2026-09-13 02:50:06;5203;23;96.1;SECTEUR;100;0;18;323
2026-09-13 02:50:09;5197;33;67.8;SECTEUR;100;0;18;323
2026-09-13 02:50:12;5197;9;67.1;SECTEUR;100;0;18;323
2026-09-13 02:50:14;5199;6;80.9;SECTEUR;100;0;18;323
2026-09-13 02:50:17;5203;16;96.5;SECTEUR;100;0;18;326
2026-09-13 02:50:20;5205;20;85.1;SECTEUR;100;0;18;326
2026-09-13 02:50:22;5190;0;64.5;SECTEUR;100;0;18;323
2026-09-13 02:50:25;5197;28;66.2;SECTEUR;100;0;18;323
2026-09-13 02:50:27;5195;12;79;SECTEUR;100;0;18;326
2026-09-13 02:50:30;5126;18;84.4;SECTEUR;100;0;18;323
2026-09-13 02:50:33;5109;30;79.7;SECTEUR;100;0;18;323
2026-09-13 02:50:35;5428;16;70.8;SECTEUR;100;0;18;323
2026-09-13 02:50:38;5418;23;69.4;SECTEUR;100;0;18;323
2026-09-13 02:50:41;5411;15;67.4;SECTEUR;100;0;18;323
2026-09-13 02:50:43;5412;11;67.5;SECTEUR;100;0;18;323
2026-09-13 02:50:46;5397;26;147.5;SECTEUR;100;3;18;329
2026-09-13 02:50:49;4897;100;135.7;SECTEUR;100;14;18;341
2026-09-13 02:50:51;4299;72;100.4;SECTEUR;100;14;18;341
2026-09-13 02:50:54;4144;71;100.4;SECTEUR;100;14;18;341
2026-09-13 02:50:57;4146;75;102.7;SECTEUR;100;14;18;341
2026-09-13 02:51:00;4228;99;130.1;SECTEUR;100;14;18;341
2026-09-13 02:51:03;4164;99;130.4;SECTEUR;100;14;18;341
2026-09-13 02:51:05;4884;27;93.3;SECTEUR;100;0;18;323
2026-09-13 02:51:08;5442;2;88.4;SECTEUR;100;1;18;325
2026-09-13 02:51:10;5227;22;141.5;SECTEUR;100;14;18;341
2026-09-13 02:51:13;4501;98;129.6;SECTEUR;100;14;18;341
2026-09-13 02:51:16;4255;47;92.1;SECTEUR;100;14;18;341
2026-09-13 02:51:19;4137;60;83.4;SECTEUR;100;14;18;342
2026-09-13 02:51:21;4174;96;130.3;SECTEUR;100;14;18;341
2026-09-13 02:51:24;4275;100;132.4;SECTEUR;100;14;19;347
2026-09-13 02:51:27;4396;89;121.6;SECTEUR;100;14;18;342
