"cycle";"position";"observateur";"debut";"fin";"alim_av";"charge_av";"perf_av";"perf_ap";"ram_av";"cpu_av";"node_av";"chrome_av";"alim_ap";"verdict";"failed";"passed";"total";"delais";"esc";"duree_vitest";"mur";"code";"lignes_lues"
"1";"A";"OFF";"2026-09-13 02:47:13.654";"2026-09-13 02:47:33.898";"SECTEUR";"100";"92.6";"85.3";"5286";"19";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"17.95";"20.24";"0";"1240"
"1";"B";"OFF";"2026-09-13 02:47:37.247";"2026-09-13 02:47:56.142";"SECTEUR";"100";"89.2";"106.6";"5277";"12";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"16.66";"18.9";"0";"1240"
"2";"A";"ON";"2026-09-13 02:48:59.617";"2026-09-13 02:49:19.560";"SECTEUR";"100";"67.8";"82.8";"5237";"12";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"17.73";"19.94";"0";"1246"
"2";"B";"ON";"2026-09-13 02:49:22.784";"2026-09-13 02:49:41.640";"SECTEUR";"100";"84.6";"87";"5197";"26";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"16.68";"18.86";"0";"1243"
"3";"A";"ON";"2026-09-13 02:50:44.990";"2026-09-13 02:51:04.916";"SECTEUR";"100";"69.4";"88.4";"5408";"3";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"17.73";"19.92";"0";"1245"
"3";"B";"ON";"2026-09-13 02:51:08.139";"2026-09-13 02:51:27.561";"SECTEUR";"100";"85.5";"79.7";"5430";"11";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"17.23";"19.42";"0";"1250"
"4";"A";"OFF";"2026-09-13 02:52:49.482";"2026-09-13 02:53:08.393";"SECTEUR";"100";"69.3";"83.4";"5439";"3";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"16.76";"18.9";"0";"1241"
"4";"B";"OFF";"2026-09-13 02:53:11.725";"2026-09-13 02:53:30.527";"SECTEUR";"100";"97.2";"77.4";"5451";"14";"0";"17";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"16.64";"18.8";"0";"1236"
"5";"A";"OFF";"2026-09-13 02:54:33.874";"2026-09-13 02:54:53.574";"SECTEUR";"100";"69.1";"78.8";"5376";"15";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"17.55";"19.7";"0";"1240"
"5";"B";"OFF";"2026-09-13 02:54:56.797";"2026-09-13 02:55:15.269";"SECTEUR";"100";"93.7";"85.8";"5374";"9";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"16.37";"18.47";"0";"1239"
"6";"A";"ON";"2026-09-13 02:56:18.666";"2026-09-13 02:56:38.498";"SECTEUR";"100";"76.2";"76";"5347";"36";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"17.65";"19.83";"0";"1240"
"6";"B";"ON";"2026-09-13 02:56:41.691";"2026-09-13 02:57:01.222";"SECTEUR";"100";"102.3";"100.8";"5316";"16";"0";"18";"SECTEUR";"287/287";"0";"287";"287";"0";"0";"17.36";"19.53";"0";"1245"
