horodatage;ram_libre_mo;cpu_pct;perf_pct;alim;charge_pct;node;chrome;nb_proc
2026-09-21 23:11:31;5786;27;92.6;SECTEUR;100;0;0;309
2026-09-21 23:12:03;5751;19;90.5;SECTEUR;100;0;0;316
2026-09-21 23:12:34;5173;45;124.3;SECTEUR;100;4;0;322
2026-09-21 23:13:06;5768;17;90.6;SECTEUR;100;0;0;317
2026-09-21 23:13:37;5738;21;107.4;SECTEUR;100;0;0;316
2026-09-21 23:14:09;5515;30;92.9;SECTEUR;100;0;0;327
2026-09-21 23:14:40;5222;98;143.1;SECTEUR;100;15;0;343
2026-09-21 23:15:12;5636;64;142;SECTEUR;100;8;0;335
2026-09-21 23:15:44;6005;34;102.7;SECTEUR;100;0;0;325
2026-09-21 23:16:15;4907;48;140.6;SECTEUR;100;6;0;334
2026-09-21 23:16:47;6207;12;90.4;SECTEUR;100;0;0;319
2026-09-21 23:17:18;5796;37;150;SECTEUR;100;5;0;324
2026-09-21 23:17:50;5724;49;114.2;SECTEUR;100;5;0;325
2026-09-21 23:18:21;5901;34;135.8;SECTEUR;100;5;0;324
2026-09-21 23:18:53;5737;50;105.8;SECTEUR;100;5;0;324
2026-09-21 23:19:24;5650;37;136.1;SECTEUR;100;5;0;324
2026-09-21 23:19:56;5548;47;129.9;SECTEUR;100;5;0;330
2026-09-21 23:20:28;5751;17;140.7;SECTEUR;100;5;0;327
2026-09-21 23:20:59;5739;21;136.3;SECTEUR;100;5;0;323
2026-09-21 23:21:31;5718;23;125.1;SECTEUR;100;0;0;309
2026-09-21 23:22:02;6034;18;91.3;SECTEUR;100;0;0;315
2026-09-21 23:22:34;4927;26;127.2;SECTEUR;100;9;0;332
2026-09-21 23:23:05;4288;68;135.8;SECTEUR;100;13;0;345
2026-09-21 23:23:39;3936;66;119.2;SECTEUR;100;14;0;350
2026-09-21 23:24:10;3879;56;135.3;SECTEUR;100;13;0;350
2026-09-21 23:24:42;6008;41;96.9;SECTEUR;100;0;0;321
2026-09-21 23:25:13;6053;24;103.1;SECTEUR;100;0;0;318
2026-09-21 23:25:45;5045;83;130.7;SECTEUR;100;1;0;328
2026-09-21 23:59:28;6594;42;92.1;SECTEUR;100;0;0;308
