horodatage;ram_libre_mo;cpu_pct;perf_pct;alim;charge_pct;node;chrome;nb_proc
2026-09-22 00:04:42;6548;24;119.6;SECTEUR;100;0;0;315
2026-09-22 00:05:13;6546;35;92.2;SECTEUR;100;0;0;315
2026-09-22 00:05:45;6533;2;91.8;SECTEUR;100;0;0;314
2026-09-22 00:06:16;6106;48;139.1;SECTEUR;100;4;0;320
2026-09-22 00:06:48;6547;15;96.5;SECTEUR;100;0;0;314
2026-09-22 00:07:19;5255;61;134.5;SECTEUR;100;15;0;332
2026-09-22 00:07:51;5909;55;142.1;SECTEUR;100;8;0;325
2026-09-22 00:08:23;6553;19;95.9;SECTEUR;100;0;0;314
2026-09-22 00:08:54;5063;62;142;SECTEUR;100;5;0;322
2026-09-22 00:09:26;6371;0;79.2;SECTEUR;100;0;0;314
2026-09-22 00:09:57;5970;34;135.5;SECTEUR;100;5;0;321
2026-09-22 00:10:29;5876;27;110.2;SECTEUR;100;5;0;321
2026-09-22 00:11:00;5782;31;132;SECTEUR;100;5;0;321
2026-09-22 00:11:32;5820;46;110.3;SECTEUR;100;5;0;321
2026-09-22 00:12:03;5931;31;140.6;SECTEUR;100;5;0;321
2026-09-22 00:12:36;5913;37;126.2;SECTEUR;100;5;0;322
2026-09-22 00:13:08;5924;28;135.9;SECTEUR;100;5;0;322
2026-09-22 00:13:39;5699;33;135.6;SECTEUR;100;5;0;322
2026-09-22 00:14:11;5899;48;103;SECTEUR;100;0;0;324
2026-09-22 00:14:43;5665;17;91.7;SECTEUR;100;0;0;331
2026-09-22 00:15:14;4020;48;118.6;SECTEUR;100;12;0;353
2026-09-22 00:15:46;4015;51;139.1;SECTEUR;100;14;0;357
2026-09-22 00:16:17;3549;35;143;SECTEUR;100;13;0;350
2026-09-22 00:16:49;5941;26;92.4;SECTEUR;100;0;0;313
2026-09-22 00:17:20;5988;13;89.1;SECTEUR;100;0;0;318
2026-09-22 00:17:52;4688;96;135.2;SECTEUR;100;14;0;340
2026-09-22 00:18:24;5015;83;134.2;SECTEUR;100;14;0;344
2026-09-22 00:18:55;5839;36;142.9;SECTEUR;100;14;0;344
2026-09-22 00:19:27;4766;94;142.6;SECTEUR;100;14;0;344
2026-09-22 00:19:58;5752;19;145.8;SECTEUR;100;3;0;335
2026-09-22 00:20:30;5585;10;149.9;SECTEUR;100;7;0;338
2026-09-22 00:21:01;5637;25;148.5;SECTEUR;100;7;0;335
2026-09-22 00:21:33;4957;91;144.3;SECTEUR;100;14;0;342
2026-09-22 00:22:04;5468;84;135.7;SECTEUR;100;14;0;341
2026-09-22 00:22:36;6158;27;157.1;SECTEUR;100;14;0;341
2026-09-22 00:23:08;5145;80;142.4;SECTEUR;100;14;0;340
2026-09-22 00:23:39;5600;70;132.2;SECTEUR;100;2;0;326
2026-09-22 00:24:11;4209;25;137.9;SECTEUR;100;12;0;350
2026-09-22 00:24:42;5279;61;135.1;SECTEUR;100;6;0;334
2026-09-22 00:25:14;4349;17;132.2;SECTEUR;100;12;0;343
